 ,Area,Mean,Min,Max
1160,101,255,255,255
1161,70,255,255,255
1162,89,255,255,255
1163,178,255,255,255
1164,80,255,255,255
1165,219,255,255,255
1166,90,255,255,255
1167,141,255,255,255
1168,97,255,255,255
1169,78,255,255,255
1170,209,255,255,255
1171,95,255,255,255
1172,110,255,255,255
1173,139,255,255,255
1174,140,255,255,255
1175,64,255,255,255
1176,106,255,255,255
1177,185,255,255,255
1178,126,255,255,255
1179,96,255,255,255
1180,133,255,255,255
1181,122,255,255,255
1182,61,255,255,255
1183,92,255,255,255
1184,165,255,255,255
1185,113,255,255,255
1186,63,255,255,255
1187,74,255,255,255
1188,53,255,255,255
1189,162,255,255,255
1190,96,255,255,255
1191,164,255,255,255
1192,91,255,255,255
1193,68,255,255,255
1194,60,255,255,255
1195,67,255,255,255
1196,84,255,255,255
1197,129,255,255,255
1198,130,255,255,255
1199,192,255,255,255
1200,106,255,255,255
1201,87,255,255,255
1202,159,255,255,255
1203,160,255,255,255
1204,71,255,255,255
1205,92,255,255,255
1206,173,255,255,255
1207,124,255,255,255
1208,116,255,255,255
1209,110,255,255,255
1210,73,255,255,255
1211,68,255,255,255
1212,118,255,255,255
1213,103,255,255,255
1214,92,255,255,255
1215,145,255,255,255
1216,107,255,255,255
1217,113,255,255,255
1218,108,255,255,255
1219,64,255,255,255
1220,71,255,255,255
1221,116,255,255,255
1222,73,255,255,255
1223,84,255,255,255
1224,139,255,255,255
1225,79,255,255,255
1226,105,255,255,255
1227,102,255,255,255
1228,126,255,255,255
1229,79,255,255,255
1230,79,255,255,255
1231,89,255,255,255
1232,149,255,255,255
1233,85,255,255,255
1234,72,255,255,255
1235,160,255,255,255
1236,176,255,255,255
1237,73,255,255,255
1238,85,255,255,255
1239,78,255,255,255
1240,69,255,255,255
1241,93,255,255,255
1242,155,255,255,255
1243,48,255,255,255
1244,88,255,255,255
1245,111,255,255,255
1246,149,255,255,255
1247,82,255,255,255
1248,68,255,255,255
1249,78,255,255,255
1250,113,255,255,255
1251,65,255,255,255
1252,84,255,255,255
1253,100,255,255,255
1254,96,255,255,255
1255,87,255,255,255
1256,63,255,255,255
1257,59,255,255,255
1258,89,255,255,255
1259,119,255,255,255
1260,84,255,255,255
1261,126,255,255,255
1262,90,255,255,255
1263,106,255,255,255
1264,149,255,255,255
1265,98,255,255,255
1266,32,255,255,255
1267,73,255,255,255
1268,79,255,255,255
1269,132,255,255,255
1270,135,255,255,255
1271,71,255,255,255
1272,182,255,255,255
1273,111,255,255,255
1274,105,255,255,255
1275,138,255,255,255
1276,87,255,255,255
1277,63,255,255,255
1278,68,255,255,255
1279,65,255,255,255
1280,75,255,255,255
1281,90,255,255,255
1282,103,255,255,255
1283,72,255,255,255
1284,114,255,255,255
1285,103,255,255,255
1286,144,255,255,255
1287,98,255,255,255
1288,177,255,255,255
1289,83,255,255,255
1290,85,255,255,255
1291,108,255,255,255
1292,45,255,255,255
1293,84,255,255,255
1294,61,255,255,255
1295,93,255,255,255
1296,81,255,255,255
1297,88,255,255,255
1298,56,255,255,255
1299,121,255,255,255
1300,106,255,255,255
1301,105,255,255,255
1302,68,255,255,255
1303,118,255,255,255
1304,125,255,255,255
1305,86,255,255,255
1306,90,255,255,255
1307,120,255,255,255
1308,77,255,255,255
1309,112,255,255,255
1310,88,255,255,255
1311,101,255,255,255
1312,100,255,255,255
1313,104,255,255,255
1314,114,255,255,255
1315,136,255,255,255
1316,64,255,255,255
1317,147,255,255,255
1318,176,255,255,255
1319,89,255,255,255
1320,101,255,255,255
1321,154,255,255,255
1322,163,255,255,255
1323,103,255,255,255
1324,89,255,255,255
1325,188,255,255,255
1326,79,255,255,255
1327,95,255,255,255
1328,129,255,255,255
1329,162,255,255,255
1330,122,255,255,255
1331,126,255,255,255
1332,91,255,255,255
1333,139,255,255,255
1334,105,255,255,255
1335,111,255,255,255
1336,144,255,255,255
1337,98,255,255,255
1338,143,255,255,255
1339,88,255,255,255
1340,99,255,255,255
1341,123,255,255,255
1342,77,255,255,255
1343,91,255,255,255
1344,145,255,255,255
1345,78,255,255,255
1346,68,255,255,255
1347,93,255,255,255
1348,100,255,255,255
1349,80,255,255,255
1350,87,255,255,255
1351,108,255,255,255
1352,123,255,255,255
1353,81,255,255,255
1354,91,255,255,255
